충전소,충전량(kWh,충전일수,주소,X좌표,Y좌표,시군구명,경기장,공원,마트,도서관,변압기,전기차,학교,민행기_SN,주차면,음식점,교통량,생산가능인
송림체육관,30617.47000,595,인천광역시 동구 염전로 30,126.64758,37.48439,동구,1,4,0,1,607,61,14,14,13391.00000,537,715.00000,39614.00000
신기남부종합시장 주차장,7561.01000,142,인천광역시 미추홀구 주안동 1311-17,126.67865,37.44622,미추홀구,2,6,0,2,570,29,18,20,20138.00000,1613,755.00000,122820.00000
신문리 공영주차장,7411.52000,164,인천광역시 강화군 강화읍 향나무길 20 (신문리),126.47916,37.74653,강화군,2,2,0,1,99,11,7,6,516.00000,339,213.00000,8590.00000
십리포해수욕장 주차장,1561.03000,68,인천광역시 옹진군 영흥면 영흥북로 382,126.48647,37.28147,옹진군,0,0,0,0,7,4,0,0,,16,2.00000,497.00000
아트센터인천,11356.43000,212,인천광역시 연수구 아트센터대로 222,126.62701,37.39378,연수구,0,0,2,0,84,68,5,1,2778.00000,158,815.00000,28583.00000
연세대학교 국제캠퍼스,53172.87000,656,인천광역시 연수구 송도동 162-1  포스코 그린빌딩 앞 주차장,126.66727,37.38151,연수구,0,0,2,1,95,71,9,3,25251.00000,269,946.00000,40262.00000
연수구청,8931.53000,208,인천광역시 연수구 원인재로 115,126.67834,37.40949,연수구,1,0,3,3,641,59,20,14,419312.00000,1088,618.00000,85262.00000
열우물경기장,6591.65000,158,인천광역시 부평구 십정동 109-2,126.69283,37.47882,부평구,3,8,1,4,616,18,21,8,9860.00000,811,584.00000,70670.00000
영종대교 휴게소 주차장,30137.35000,578,인천광역시 서구 경서동 산 257-4  지상 버스주차장 옆,126.60708,37.55390,서구,0,2,0,0,36,0,1,0,463.00000,12,277.00000,20.00000
영흥수산물직판장 주차장,11727.52000,408,인천광역시 옹진군 영흥면 내리 8-165  공중화장실 옆,126.49793,37.25545,옹진군,0,0,0,1,23,2,0,2,65.00000,118,2.00000,1142.00000
온수리 공영 주차장,9405.42000,190,인천광역시 강화군 길상면 온수리 546-34,126.49212,37.63915,강화군,0,0,0,0,34,11,3,4,242.00000,96,276.00000,1815.00000
온수리 제1공영주차장,1698.31000,75,인천광역시 강화군 길상면 마니산로 20,126.48966,37.64210,강화군,0,0,0,0,37,11,3,4,242.00000,97,272.00000,2013.00000
용유동사무소,21183.14000,513,인천광역시 중구 마시란로 308-13,126.40243,37.44390,중구,0,0,0,1,7,1,2,3,,25,33.00000,937.00000
월미공원 제2주차장,2859.22000,100,인천광역시 중구 월미로 329,126.60027,37.47015,중구,0,0,0,0,106,0,1,0,518.00000,122,267.00000,1328.00000
이마트 동인천점,17285.21000,235,인천광역시 중구 인중로 134,126.62917,37.46655,중구,3,3,2,9,462,61,21,28,6483.00000,1309,452.00000,60272.00000
